borocd,cb_email,cb_website,cd_full_title,cd_short_title,neighborhoods,son_issue_1,son_issue_2,son_issue_3,communityID,normalizedName,twitterName,youtubeChannelName,youtubeChannelURL,twitterHandle,dateCheckLast,status
101,man01@cb.nyc.gov,www1.nyc.gov/site/manhattancb1/index.page,Manhattan Community District 1,Manhattan CD 1,"Battery Park City, Civic Center, Ellis Island, Governors Island, Liberty Island, South Street Seaport, Tribeca, Wall Street, World Trade Center",Infrastructure resiliency,Traffic,Other,MCB1,Manhattan Community District 1,Manhattan Community Board 1,Manhattan Community Board 1,https://www.youtube.com/channel/UCem-EVlcjv8dPUETrVMt2yQ,@CommunityBoard1,9/6/2020,stale
102,bgormley@cb.nyc.gov,www.nyc.gov/html/mancb2,Manhattan Community District 2,Manhattan CD 2,"Greenwich Village, Hudson Square, Little Italy, NoHo, SoHo, South Village, West Village",Parks,Schools,Senior services,MCB2,Manhattan Community District 2,Community Board 2M,Community Board 2,https://www.youtube.com/channel/UC3kEY0n-RPRYE6rOlfstFDQ,@CB2_Manhattan,9/6/2020,live
103,mn03@cb.nyc.gov,www.nyc.gov/html/mancb3,Manhattan Community District 3,Manhattan CD 3,"Chinatown, East Village, Lower East Side, NoHo, Two Bridges",Affordable housing,Senior services,Homelessness,MCB3,Manhattan Community District 3,Community Board 3,Manhattan Community Board 3 NYC,https://www.youtube.com/channel/UC2HzoCJxu-rVSgcaop0K-_A,@CB3Man,9/6/2020,live
104,jbodine@cb.nyc.gov,www.nyc.gov/mcb4,Manhattan Community District 4,Manhattan CD 4,"Chelsea, Clinton, Hudson Yards",Affordable housing,"Land use trends (zoning, development, neighborhood preservation, etc.)",Traffic,MCB4,Manhattan Community District 4,Community Board 4,Manhattan Community Board 4,https://www.youtube.com/channel/UCVuHwITcFASNggyVX847NNg,@ManhattanBoard4,9/6/2020,live
105,office@cb5.org,www.cb5.org,Manhattan Community District 5,Manhattan CD 5,"Flatiron, Gramercy Park, Herald Square, Midtown, Midtown South, Murray Hill, Times Square, Union Square",Traffic,Trash removal & cleanliness,Homelessness,MCB5,Manhattan Community District 5,Community Board Five,Manhattan Community Board Five,https://www.youtube.com/channel/UC-qjOBGaBHStwauSQwayM2w,@ManhattanCB5,9/6/2020,live
106,Office@cbsix.org,www.cbsix.org,Manhattan Community District 6,Manhattan CD 6,"Beekman Place, Gramercy Park, Murray Hill, Peter Cooper Village, Stuyvesant Town, Sutton Place, Tudor City, Turtle Bay",Affordable housing,Parks,Homelessness,MCB6,Manhattan Community District 6,Manhattan Community Board Six,Manhattan Community Board Six,https://www.youtube.com/channel/UCVn0y_oPVdX0vvRFl70YAig,@cbsix,9/6/2020,live
107,office@cb7.org,www.nyc.gov/mcb7,Manhattan Community District 7,Manhattan CD 7,"Lincoln Square, Manhattan Valley, Upper West Side",Affordable housing,Schools,Social services,MCB7,Manhattan Community District 7,Manhattan Community Board 7,Manhattan CBseven,https://www.youtube.com/channel/UC_n3st90mFiSeRVUl4m8ySQ,@CB7Manhattan,9/6/2020,live
108,info@cb8m.com,www.cb8m.com,Manhattan Community District 8,Manhattan CD 8,"Carnegie Hill, Lenox Hill, Roosevelt Island, Upper East Side, Yorkville",Affordable housing,Parks,Schools,MCB8,Manhattan Community District 8,Community Board 8 M,Community Board 8 Manhattan,https://www.youtube.com/channel/UClmnjGkAszTIah2X0x7pv_w,@CB8M,9/6/2020,live
109,eprince@cb9m.org,www.cb9m.org,Manhattan Community District 9,Manhattan CD 9,"Hamilton Heights, Manhattanville, Morningside Heights, West Harlem",Affordable housing,Crime,Unemployment,MCB9,Manhattan Community District 9,,,,,9/6/2020,silent
110,MN10CB@cb.nyc.gov,www.nyc.gov/html/mancb10,Manhattan Community District 10,Manhattan CD 10,Central Harlem,Affordable housing,"Commercial development (retail mix, small business, MWBE support, etc.)",Trash removal & cleanliness,MCB10,Manhattan Community District 10,Manhattan CB 10,Manhattan Community Board 10,https://www.youtube.com/channel/UC7NpMcORqB0a_FDuRbs-Cyg,@mancb10,9/6/2020,stale
111,mn11@cb.nyc.gov,www.cb11m.org,Manhattan Community District 11,Manhattan CD 11,"East Harlem, Harlem, Randall's Island Park, Wards Island Park",Affordable housing,"Land use trends (zoning, development, neighborhood preservation, etc.)",Unemployment,MCB11,Manhattan Community District 11,Manhattan CB11,,,@ManhattanCB11,9/6/2020,silent
112,ebsmith@cb.nyc.gov,www.nyc.gov/html/mancb12,Manhattan Community District 12,Manhattan CD 12,"Inwood, Washington Heights",Affordable housing,"Land use trends (zoning, development, neighborhood preservation, etc.)",Schools,MCB12,Manhattan Community District 12,Manhattan CB12,CB12M NYC,https://www.youtube.com/channel/UCVRLEz9wPxgc9PxMj31Zk4Q,@MANCB12,9/6/2020,live
201,brxcb1@optonline.net,www1.nyc.gov/site/bronxcb1/index.page,Bronx Community District 1,Bronx CD 1,"Melrose, Mott Haven, Port Morris",Affordable housing,Health care services,Unemployment,BXCB1,Bronx Community District 1,,,,,,
202,brxcb2@optonline.net,www.bxcb2.org,Bronx Community District 2,Bronx CD 2,"Hunts Point, Longwood",Parks,Schools,Youth and childrens services,BXCB2,Bronx Community District 2,Bronx Community Board 2,,,@2_bronx,,
203,brxcomm3@optonline.net,www.nyc.gov/bronxcb3,Bronx Community District 3,Bronx CD 3,"Claremont, Crotona Park East, Melrose, Morrisania",Health care services,Unemployment,Youth and childrens services,BXCB3,Bronx Community District 3,,,,,,
204,bx04@cb.nyc.gov,www.nyc.gov/html/bxcb4,Bronx Community District 4,Bronx CD 4,"Concourse, Concourse Village, East Concourse, Highbridge, Mount Eden, West Concourse","Quality of life issues (noise, graffiti, petty crime, etc.)",Schools,Youth and childrens services,BXCB4,Bronx Community District 4,BX Community Board 4,,,@BronxCB4,,
205,bx05@cb.nyc.gov,www1.nyc.gov/site/bronxcb5/index.page,Bronx Community District 5,Bronx CD 5,"Fordham, Morris Heights, Mount Hope, University Heights",Affordable housing,Schools,Unemployment,BXCB5,Bronx Community District 5,Bronx Community Board 5,,,@Bronxcb5,,
206,bronxcb6@bronxcb6.org,www.bronxcb6.org,Bronx Community District 6,Bronx CD 6,"Bathgate, Belmont, Bronx Park South, East Tremont, West Farms",Crime,Schools,Unemployment,BXCB6,Bronx Community District 6,BX Community Board 6,Bronx Community Board 6,https://www.youtube.com/channel/UC-U3yA1r8No71Nk2A8kOXLA,@BronxCB6,9/6/2020,stale
207,info@bronxcb7.info,www.bronxcb7.info,Bronx Community District 7,Bronx CD 7,"Bedford Park, Fordham, Kingsbridge Heights, Norwood, University Heights","Land use trends (zoning, development, neighborhood preservation, etc.)",Schools,Other,BXCB7,Bronx Community District 7,BX Community Board 7,,,@BronxCB7,,
208,bx08@cb.nyc.gov,www.nyc.gov/html/bxcb8,Bronx Community District 8,Bronx CD 8,"Fieldston, Kingsbridge, Marble Hill (MN), North Riverdale, Riverdale, Spuyten Duyvil","Land use trends (zoning, development, neighborhood preservation, etc.)",Parks,Senior services,BXCB8,Bronx Community District 8,,,,,,
209,bx09@cb.nyc.gov,www.nyc.gov/bxcb9,Bronx Community District 9,Bronx CD 9,"Bronx River, Castle Hill, Clason Point, Harding Park, Parkchester, Soundview, Soundview-Bruckner, Unionport",Affordable housing,Crime,"Land use trends (zoning, development, neighborhood preservation, etc.)",BXCB9,Bronx Community District 9,BronxCB9,,,@CB9Bronx,,
210,bx10@cb.nyc.gov,www.nyc.gov/html/bxcb10/,Bronx Community District 10,Bronx CD 10,"City Island, Co-op City, Country Club, Edgewater Park, Pelham Bay, Schuylerville, Throgs Neck, Westchester Square","Quality of life issues (noise, graffiti, petty crime, etc.)",Traffic,Trash removal & cleanliness,BXCB10,Bronx Community District 10,Bronx Community Board #10,,,@BronxCB10,,
211,Bx11@cb.nyc.gov,www.nyc.gov/bxcb11,Bronx Community District 11,Bronx CD 11,"Allerton, Bronxdale, Indian Village, Morris Park, Pelham Gardens, Pelham Parkway, Van Nest",Police-community relations,Public health facilities,"Quality of life issues (noise, graffiti, petty crime, etc.)",BXCB11,Bronx Community District 11,,Bronx Community Board 11,https://www.youtube.com/channel/UCG-BOeUcviapIkDFQfxLuiA,,9/6/2020,live
212,gtorres@cb.nyc.gov ,www1.nyc.gov/site/bronxcb12/index.page,Bronx Community District 12,Bronx CD 12,"Baychester, Eastchester, Edenwald, Olinville, Wakefield, Williamsbridge, Woodlawn",Parks,"Quality of life issues (noise, graffiti, petty crime, etc.)",Trash removal & cleanliness,BXCB12,Bronx Community District 12,,,,,,
301,bk01@cb.nyc.gov,www.nyc.gov/html/bkncb1,Brooklyn Community District 1,Brooklyn CD 1,"East Williamsburg, Greenpoint, Northside, Southside, Williamsburg",Affordable housing,"Land use trends (zoning, development, neighborhood preservation, etc.)",Senior services,BCB1,Brooklyn Community District 1,,,,,,
302,cb2k@nyc.rr.com,www.nyc.gov/html/bkncb2,Brooklyn Community District 2,Brooklyn CD 2,"Boerum Hill, Brooklyn Heights, Clinton Hill, Downtown Brooklyn, DUMBO, Fort Greene, Fulton Ferry, Navy Yard, Vinegar Hill",Affordable housing,Schools,Other,BCB2,Brooklyn Community District 2,,Brooklyn Community Board 2,https://www.youtube.com/channel/UCcQ_OayNaOsqLAr1RRDHtsw,,9/6/2020,live
303,bk03@cb.nyc.gov,https://www1.nyc.gov/site/brooklyncb3/index.page,Brooklyn Community District 3,Brooklyn CD 3,"Bedford-Stuyvesant, Stuyvesant Heights, Tompkins Park North",Affordable housing,Schools,Trash removal & cleanliness,BCB3,Brooklyn Community District 3,,,,,,
304,BK04@cb.nyc.gov,www.nyc.gov/brooklyncb4,Brooklyn Community District 4,Brooklyn CD 4,Bushwick,Affordable housing,"Land use trends (zoning, development, neighborhood preservation, etc.)",Street conditions (roadway maintenance),BCB4,Brooklyn Community District 4,,,,,,
305,bk05@cb.nyc.gov,www.brooklyncb5.org,Brooklyn Community District 5,Brooklyn CD 5,"Broadway Junction, City Line, Cypress Hills, East New York, Highland Park, New Lots, Spring Creek, Starrett City",Health care services,"Land use trends (zoning, development, neighborhood preservation, etc.)",Trash removal & cleanliness,BCB5,Brooklyn Community District 5,BK Community Board 5,,,@BrooklynCB5,,
306,info@brooklyncb6.org,www1.nyc.gov/site/brooklyncb6/index.page,Brooklyn Community District 6,Brooklyn CD 6,"Carroll Gardens, Cobble Hill, Columbia St, Gowanus, Park Slope, Red Hook",Affordable housing,"Commercial development (retail mix, small business, MWBE support, etc.)",Infrastructure resiliency,BCB6,Brooklyn Community District 6,,,,,,
307,bk07@cb.nyc.gov,www.nyc.gov/bk07,Brooklyn Community District 7,Brooklyn CD 7,"Sunset Park, Windsor Terrace",Affordable housing,Schools,Other,BCB7,Brooklyn Community District 7,,,,,,
308,brooklynCB8@gmail.com,www.brooklyncb8.org,Brooklyn Community District 8,Brooklyn CD 8,"Crown Heights, Prospect Heights, Weeksville","Land use trends (zoning, development, neighborhood preservation, etc.)",Parks,Infrastructure resiliency,BCB8,Brooklyn Community District 8,,Brooklyn Community Board 8,https://www.youtube.com/channel/UCPsRKFds5RmAx05fqHLE66g,,9/6/2020,live
309,bk09@cb.nyc.gov,www.communitybrd9bklyn.org,Brooklyn Community District 9,Brooklyn CD 9,"Crown Heights South, Prospect Lefferts Gardens, Wingate",Affordable housing,Schools,Youth and childrens services,BCB9,Brooklyn Community District 9,,,,,,
310,bk10@cb.nyc.gov,www.bkcb10.org,Brooklyn Community District 10,Brooklyn CD 10,"Bay Ridge, Dyker Heights, Fort Hamilton","Land use trends (zoning, development, neighborhood preservation, etc.)",Parks,Senior services,BCB10,Brooklyn Community District 10,,Brooklyn CB10,https://www.youtube.com/channel/UCPueX4MsL5dhnFZ-wqDwvKw,,9/6/2020,live
311,bk11@cb.nyc.gov,www.brooklyncb11.org,Brooklyn Community District 11,Brooklyn CD 11,"Bath Beach, Bensonhurst, Gravesend, Mapleton","Land use trends (zoning, development, neighborhood preservation, etc.)","Quality of life issues (noise, graffiti, petty crime, etc.)",Street conditions (roadway maintenance),BCB11,Brooklyn Community District 11,,,,,,
312,bkcb12@gmail.com,www.brooklyncb12.org,Brooklyn Community District 12,Brooklyn CD 12,"Borough Park, Kensington, Ocean Parkway",Affordable housing,Traffic,Trash removal & cleanliness,BCB12,Brooklyn Community District 12,Community Board 12,,,@BrooklynCB12,,
313,edmark@cb.nyc.gov ,www1.nyc.gov/site/brooklyncb13/index.page,Brooklyn Community District 13,Brooklyn CD 13,"Brighton Beach, Coney Island, Gravesend, Homecrest, Sea Gate, West Brighton",Infrastructure resiliency,Street conditions (roadway maintenance),Traffic,BCB13,Brooklyn Community District 13,,,,,,
314,info@cb14brooklyn.com,www.cb14brooklyn.com,Brooklyn Community District 14,Brooklyn CD 14,"Ditmas Park, Flatbush, Manhattan Terrace, Midwood, Ocean Parkway, Prospect Park South",Infrastructure resiliency,Traffic,Other,BCB14,Brooklyn Community District 14,Brooklyn Community Board 14,Brooklyn Community Board 14,https://www.youtube.com/channel/UC_BAkpXTYFoKdHVRvswVgtg,,9/6/2020,live
315,bklcb15@verizon.net,www.nyc.gov/html/bkncb15,Brooklyn Community District 15,Brooklyn CD 15,"Gerritsen Beach, Gravesend, Homecrest, Kings Highway, Manhattan Beach, Plumb Beach, Sheepshead Bay",Traffic,Transit (buses & subways),Trash removal & cleanliness,BCB15,Brooklyn Community District 15,,,,,,
316,bk16@cb.nyc.gov,www.nyc.gov/brooklyncb16,Brooklyn Community District 16,Brooklyn CD 16,"Broadway Junction, Brownsville, Ocean Hill",Affordable housing,Health care services,Youth and childrens services,BCB16,Brooklyn Community District 16,,,,,,
