video_id,date_added,status
7B6Bc20Osl,8/15/2020,
6vwi-v8_CoM,8/16/2020,
tMwOKuwVo_4,8/16/2020,
Ujuflbmh03Q,8/16/2020,
KvK4DQoRpMA,8/16/2020,
7oSh-YuEMbw,8/16/2020,
FXVrLlTS1FA,8/16/2020,
38R-uPl9jPc,8/16/2020,
bsD0R62CJck,8/16/2020,
aVMyX1scunM,8/16/2020,
qSOUWbDjh5s,8/16/2020,
bIbzDdiMnik,8/20/2020,
l3uiCiaStFk,8/25/2020,
-QWwW3NWmX0,9/1/2020,
7OABA9ZbGgo,9/6/2020,
vZYVUYyxowU,9/13/2020,
xHz4IoXfoxM,9/13/2020,
55VMog-Q55g,9/13/2020,
wqF6nCTQQwo,9/13/2020,
vZYVUYyxowU,,
1QgwWaV-gc4,,
Vz7o1Zf32bc,,
