video_id,date_added,status
eXVWEwKHspo,8/15/2020,
R4EKhX8Gqio,8/15/2020,
tOofE-7g-MQ,8/15/2020,
cH59Mm-IfCk,8/15/2020,
7B6Bc20Osl,8/15/2020,
HyDVkX3slwY,8/16/2020,
yz1q7T6NN-0,8/16/2020,
KGk5U_aGovk,8/16/2020,
6obxVD22yXk,8/16/2020,
ZQ2c9qPTYhs,8/16/2020,
avLl6BongF0,8/16/2020,
7zzhtP39irs,8/16/2020,
DsytiktzsuM,8/16/2020,
l_DjewFKoBU,8/16/2020,
QBCScIb4ZBQ,8/16/2020,
0zeawNcUtiE,8/16/2020,
gih53uQbNhU,8/16/2020,
-Zrtqxq5lZY,8/16/2020,
tHc1b8WNXIw,8/16/2020,
i7Z8ULy26jc,8/16/2020,
shCaTnlJFQY,8/16/2020,
6vwi-v8_CoM,8/16/2020,
B9kjPWTBXRE,8/16/2020,
tMwOKuwVo_4,8/16/2020,
04E8mmyIJ94,8/16/2020,
1leBekjCSDk,8/16/2020,
lHzMn6hFhmU,8/16/2020,
Ujuflbmh03Q,8/16/2020,
ZXqKuEEdQjA,8/16/2020,
KvK4DQoRpMA,8/16/2020,
hECSy7BZbYU,8/16/2020,
V96rn1Jsim4,8/16/2020,
zk4Zr3itSJI,8/16/2020,
mVrRh8rstF8,8/16/2020,
WDzv_ScXfX4,8/16/2020,
7oSh-YuEMbw,8/16/2020,
FXVrLlTS1FA,8/16/2020,
PzHKLh3_I0E,8/16/2020,
tGgxaSy3w-s,8/16/2020,
38R-uPl9jPc,8/16/2020,
r-3cWEDFaaA,8/16/2020,
ER3Iv456O10,8/16/2020,
gvH_sgnnF84,8/16/2020,
gSkAr0e5uKc,8/16/2020,
-4xzuikRujM,8/16/2020,
bsD0R62CJck,8/16/2020,
aVMyX1scunM,8/16/2020,
qSOUWbDjh5s,8/16/2020,
OffwN1NwwZ0,8/16/2020,
mvwOmM_Wvo4,8/16/2020,
zg9u3UVRo_Y,8/16/2020,
MBMZUrKLHlg,8/16/2020,
sJp9po-6Aes,8/16/2020,
-VJlUUt2Enc,8/20/2020,
bIbzDdiMnik,8/20/2020,
g8VUzxxswSM,8/20/2020,
9ofdMu55WsY,8/20/2020,
g8VUzxxswSM,8/20/2020,
9ofdMu55WsY,8/20/2020,
I43Lyfn7AlU,8/20/2020,
